# File generated by PiHelper. Please see the project web site for further details on data use terms.												
# Exporter: DrugExporter												
# Time: 2013.12.17 at 16:00:06 EST												
PiHelper_Drug_ID	Drug_Name	Drug_Synonyms	Description	Number_of_Targets	ATC_Codes	isFdaApproved	isCancerDrug	isNutraceutical	Number_Of_Clinical_Trials	DataSources	References	
61687	Lepirudin	Refludan;Hirudin variant-1	Lepirudin is identical to natural hirudin except for substitution of leucine for isoleucine at the N-terminal end of the molecule and the absence of a sulfate group on the tyrosine at position 63. It is produced via yeast cells.  	3	B01AE02	true	false	false	-1	KEGG Drugs;DrugBank	KEGG Drug:D06880;KEGG:D06880;Drugs Product Database (DPD):2240996;National Drug Code Directory:50419-150-57;UniProtKB:P01050;PharmGKB:PA450195;DrugBank:DB00001;PubMed:21804595	
61688	Cetuximab	IMC-C225;Erbitux;Cetuximab;Anti EGFR	Epidermal growth factor receptor binding FAB. Cetuximab is composed of the Fv (variable; antigen-binding) regions of the 225 murine EGFr monoclonal antibody specific for the N-terminal portion of human EGFr with human IgG1 heavy and kappa light chain constant (framework) regions.	14	L01XC06	true	true	false	182	KEGG Drugs;DrugBank	KEGG:D03455;PharmGKB:PA10040;GenBank:J00228;NCI_Drug:42384;DrugBank:DB00002;PubMed:21804595;National Drug Code Directory:66733-948-23	
61689	Dornase Alfa	Viscozyme;Deoxyribonuclease I;rhDNase;DNase I;DNase;Deoxyribonuclease-1 precursor;Pulmozyme	Dornase alfa is a biosynthetic form of human deoxyribunuclease I (DNase I) enzyme. It is produced in genetically modified Chinese hamster ovary (CHO) cells using recombinant DNA technology. The 260-amino acid sequence of dornase alfa is identical to the endogenous human enzyme. Dornase alfa cleaves extracellular DNA to 5´-phosphodinucleotide and 5´-phosphooligonucleotide end products without affecting intracellular DNA. In individuals with cystic fibrosis, extracellular DNA, which is an extremely viscous anion, is released by degenerating leukocytes that accumulate during inflammatory responses to infections. Enzymatic breakdown of this extracellular DNA appears to reduce sputum viscosity and viscoelasticity. 	0	R05CB13	true	false	false	-1	DrugBank	GenBank:M55983;UniProtKB:P24855;PharmGKB:PA10318;DrugBank:DB00003;Drugs Product Database (DPD):2046733	
61690	Denileukin diftitox	Denileukin Diftitox;DT;Diphtheria toxin precursor;NAD(+--diphthamide ADP- ribosyltransferase);Ontak	A recombinant DNA-derived cytotoxic protein composed of the amino acid sequences for diphtheria toxin fragments A and B (Met 1-Thr 387)-His followed by the sequences for interleukin-2 (IL-2; Ala 1-Thr 133). It is produced in an E. coli expression system.	9	L01XX29	true	true	false	6	KEGG Drugs;DrugBank	KEGG:D03682;National Drug Code Directory:62856-603-01;DrugBank:DB00004;GenBank:V01536;PharmGKB:PA164750594;UniProtKB:P00587;PubMed:21804595;NCI_Drug:42325	
61691	Etanercept	Tumor necrosis factor receptor 2;Enbrel;Enbrel Sureclick;Tumor necrosis factor receptor type II;TNF-R2;p75;p80 TNF-alpha receptor;Tumor necrosis factor receptor superfamily member 1B precursor;Enbrel (Immunex Corp);CD120b	Dimeric fusion protein consisting of the extracellular ligand-binding portion of the human 75 kilodalton (p75) tumor necrosis factor receptor (TNFR) linked to the Fc portion of human IgG1. The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. Etanercept is produced by recombinant DNA technology in a Chinese hamster ovary (CHO) mammalian cell expression system. It consists of 934 amino acids	17	L04AB01	true	false	false	-1	KEGG Drugs;DrugBank	UniProtKB:P20333;KEGG Drug:D00742;DrugBank:DB00005;PharmGKB:PA449515;GenBank:M32315;KEGG:D00742;KEGG Compound:C07897;PubMed:21804595;Drugs Product Database (DPD):2242903;National Drug Code Directory:58406-455-04	
61692	Bivalirudin	Angiox;Angiomax	Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. It is administered intravenously. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure. 	3	B01AE06	true	false	false	-1	KEGG Drugs;DrugBank	Drugs Product Database (DPD):2246533;KEGG:D03136;DrugBank:DB00006;PharmGKB:PA10032;PubMed:21804595;National Drug Code Directory:65293-001-01	
61693	Leuprolide	LeuProMaxx;Leuplin;Memryte;Viadur;Enantone;Leuprorelin;Lutrate;Leupromer;Leuprolide Acetate;Prostap SR;Lupron;Prostap 3;Eligard	Leuprolide belongs to the general class of drugs known as hormones or hormone antagonists. It is a synthetic 9 residue peptide analog of gonadotropin releasing hormone. Leuprolide is used to treat advanced prostate cancer. It is also used to treat uterine fibroids and endometriosis. Leuprolide is also under investigation for possible use in the treatment of mild to moderate Alzheimer's disease.	3	L02AE02	true	true	false	21	KEGG Drugs;DrugBank	KEGG:D08113;ChEBI:6427;NCI_Drug:40058;KEGG Drug:D08113;DrugBank:DB00007;KEGG Compound:C07612;National Drug Code Directory:0024-0793-75;KEGG:D00989;PubMed:21804595;PharmGKB:PA450203	
61694	Peginterferon alfa-2a	Pegasys;Pegasys (Hoffman-La Roche Inc)	Human interferon 2a, is a covalent conjugate of recombinant alfa-2a interferon with a single branched bis-monomethoxy polyethylene glycol (PEG) chain. The PEG moiety is linked at a single site to the interferon alfa moiety via a stable amide bond to lysine. Peginterferon alfa-2a has an approximate molecular weight of 60,000 daltons. Interferon alfa-2a is produced using recombinant DNA technology in which a cloned human leukocyte interferon gene is inserted into and expressed in Escherichia coli. The resultant protein is 165 amino acids. The PEG strand protects the molecule in vivo from proteolytic breakdown, substantially increases its in vivo half-life, and reduces immunogenicity by wrapping around and physically hindering access to the protein portion of the molecule.	4	L03AB11	true	false	false	-1	KEGG Drugs;DrugBank	DrugBank:DB00008;PharmGKB:PA164749390;GenBank:J00207;Drugs Product Database (DPD):2248077;UniProtKB:P01563;KEGG:D02747	
61695	Alteplase	Activase (Genentech Inc);tPA;t-PA;t-plasminogen activator;Tissue-type plasminogen activator precursor	Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells	5	S01XA13;B01AD02	true	false	false	-1	DrugBank	KEGG Drug:D02837;DrugBank:DB00009;UniProtKB:P00750;GenBank:L00153;PharmGKB:PA164776730;Drugs Product Database (DPD):2245859;PubMed:21804595	
61696	Sermorelin	Geref	Sermorelin acetate is the acetate salt of an amidated synthetic 29-amino acid peptide (GRF 1-29 NH 2 ) that corresponds to the amino-terminal segment of the naturally occurring human growth hormone-releasing hormone (GHRH or GRF) consisting of 44 amino acid residues	3	V04CD03;H01AC04	true	false	false	-1	KEGG Drugs;DrugBank	KEGG:D02117;PharmGKB:PA164749110;KEGG Compound:C08192;KEGG:D08509;DrugBank:DB00010;PubMed:21804595	
